lemma,upos,synonyms,hypernyms
battery,NNP,assault and battery|barrage|barrage fire|battery|bombardment|electric battery|shelling|stamp battery,artillery|artillery unit|electrical device|collection|aggregation|accumulation|assemblage|team|squad|stamp mill|stamping mill|fire|firing|assault
1371,CD,NA,NA
nephew,NN,nephew,kinsman
sister,NN,sis|sister|Sister,female sibling|nun|member|fellow member
marjory,NNP,,NA
marry,VBN,conjoin|espouse|get hitched with|get married|hook up with|marry|splice|tie|wed,unite|unify|officiate
walter,NNP,Bruno Walter|Walter,
steward,NNP,custodian|flight attendant|keeper|shop steward|steward,fiduciary|officer|ship's officer|attendant|attender|tender|union representative|defender|guardian|protector|shielder
line,NN,agate line|air|ancestry|argument|argumentation|assembly line|bank line|billet|blood|blood line|bloodline|business|business line|cable|channel|communication channel|contrast|course|crease|credit line|crinkle|demarcation|descent|dividing line|furrow|job|line|line of business|line of credit|line of descent|line of merchandise|line of products|line of reasoning|line of work|lineage|logical argument|melodic line|melodic phrase|melody|note|occupation|origin|parentage|pedigree|personal credit line|personal line of credit|phone line|pipeline|product line|production line|rail line|railway line|seam|short letter|stemma|stock|strain|subscriber line|telephone circuit|telephone line|transmission line|tune|wrinkle,formation|mark|print|shape|form|text|textual matter|electromagnetic radiation|electromagnetic wave|nonparticulate radiation|military position|position|reasoning|logical thinking|abstract thought|conductor|series|location|depression|impression|imprint|pipe|pipage|piping|road|route|connection|connexion|connector|connecter|connective|conformity|conformation|compliance|abidance|genealogy|family tree|artifact|artefact|activity|communication|communicating|merchandise|ware|product|carrier|common carrier|area unit|square measure|credit|music|persuasion|suasion|personal letter|differentiation|distinction|mechanical system
spell,VBN,import|spell|spell out|write,recite|mean|intend|take over|relieve|hex|bewitch|glamour|witch|enchant|jinx|alternate|take turns
stuart,NNP,Gilbert Charles Stuart|Gilbert Stuart|Stuart,ruler|swayer|dynasty|royalty|royal family|royal line|royal house
monarch,NNS,crowned head|Danaus plexippus|milkweed butterfly|monarch|monarch butterfly|sovereign,ruler|swayer|head of state|chief of state|danaid|danaid butterfly
reign,NN,reign|sovereignty,time period|period of time|period|historic period|age|dominion|rule
glorious,NNP,,NA
1688,CD,NA,NA
strength,NN,durability|effectiveness|enduringness|force|forcefulness|forte|intensity|intensity level|lastingness|long suit|metier|military capability|military posture|military strength|persuasiveness|posture|potency|speciality|specialty|strength|strong point|strong suit,property|capability|capableness|intensity|intensiveness|asset|plus|power|powerfulness|magnitude|prosperity|successfulness|permanence|permanency
wealth,NN,riches|wealth|wealthiness,financial condition|abundance|copiousness|teemingness|material resource|property|belongings|holding
increase,VBD,increase,change magnitude|change|alter|modify
reign,NNS,reign|sovereignty,time period|period of time|period|historic period|age|dominion|rule
acquire,VBN,acquire|adopt|assume|develop|evolve|gain|get|grow|larn|learn|produce|take|take on|win,change|situate|locate|get|acquire
gun,NN,accelerator|accelerator pedal|artillery|gas|gas pedal|grease gun|gun|gun for hire|gunman|gunslinger|heavy weapon|hired gun|hit man|hitman|ordnance|shooter|throttle|torpedo|triggerman,weapon|arm|weapon system|armament|shot|shooter|murderer|liquidator|manslayer|pump|pedal|treadle|foot pedal|foot lever|discharge|firing|firing off
mon,NNP,Mon|Monday,weekday|Buddhist|Mon-Khmer
meg,NNP,1000000|meg|million|one thousand thousand,large integer
emerge,VBD,come forth|come out|egress|emerge|go forth|issue,appear|surface|come up|rise up|rise|originate|arise|develop|uprise|spring up|grow
1460,CD,NA,NA
1488,CD,NA,NA
burgh,NN,burgh,borough
1513,CD,NA,NA
confirm,VBD,affirm|confirm|corroborate|reassert|substantiate|support|sustain,affirm|strengthen|beef up|fortify|approve|O.K.|okay|sanction|covenant
construct,VBG,build|construct|fabricate|make|manufacture|reconstruct|retrace,make|create|trace|draw|line|describe|delineate|create by mental act|create mentally|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose
palace,NN,castle|palace,mansion|mansion house|manse|hall|residence|government|authorities|regime|exhibition hall|exhibition area
cement,VBN,cement,bind|coat|surface|fasten|fix|secure
marry,VBG,conjoin|espouse|get hitched with|get married|hook up with|marry|splice|tie|wed,unite|unify|officiate
daughter,NN,daughter|girl,female offspring
vius,NNP,,NA
marriage,NNP,man and wife|marriage|marriage ceremony|married couple|matrimony|spousal relationship|union|wedding|wedlock,marital status|family|family unit|ritual|rite|union|unification
thistle,NNP,thistle,weed
rose,NNP,blush wine|pink wine|rose|rose wine|rosebush|rosiness,shrub|bush|wine|vino|pink
prevent,VB,forbid|foreclose|forestall|keep|preclude|prevent,
make,VBG,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
attack,NN,approach|attack|attempt|blast|fire|flack|flak|onrush|onset|onslaught|plan of attack|tone-beginning,operation|military operation|turn|play|criticism|unfavorable judgment|conceptualization|conceptualisation|formulation|crime|criminal offense|criminal offence|law-breaking|beginning|start|commencement|affliction|degeneration|devolution
culminate,VBN,climax|culminate,end|stop|finish|terminate|cease|achieve|accomplish|attain|reach|make|hit|arrive at|gain|form
disastrous,JJ,black|calamitous|disastrous|fatal|fateful,
flodden,NNP,Battle of Flodden Field|Flodden,
fearing,NNP,,NA
council,NN,council,administrative unit|administrative body|assembly|meeting|group meeting
protective,JJ,protective|protective(p),
wall,NN,bulwark|paries|rampart|wall,partition|divider|object|physical object|stratum|difficulty|geological formation|formation|layer|bed|fence|fencing|embankment
boundary,NNS,bound|boundary|bounds|edge|limit,extremity|line|extent
again,RB,again|once again|once more|over again,NA
minor,JJ,minor|minor(ip)|modest|nonaged|pocket-size|pocket-sized|small|small-scale|underage|venial,
infant,JJ,,NA
v,NNP,5|atomic number 23|cinque|fin|five|fivesome|Little Phoebe|pentad|Phoebe|quint|quintet|quintuplet|v|V|vanadium|volt,potential unit|metallic element|metal|digit|figure|letter|letter of the alphabet|alphabetic character
draw,VB,absorb|attract|cast|delineate|depict|describe|disembowel|drag|draw|draw and quarter|draw in|draw off|eviscerate|get|get out|guide|imbibe|line|make|pass|puff|pull|pull back|pull in|pull out|quarter|reap|run|soak up|sop up|string|suck|suck up|take in|take out|take up|thread|tie|trace|withdraw,move|displace|derive|gain|mark|create by mental act|create mentally|remove|take|take away|withdraw|represent|interpret|set forth|expound|exposit|choose|select|pick out|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke|inhale|inspire|breathe in|travel|go|locomote|effect|effectuate|set up|change|alter|modify|write|compose|pen|indite|create|close|shut|be|necessitate|ask|postulate|need|require|involve|call for|demand|kill|pull|draw|arrange|stretch|equal|match|equalize|equalise|equate|change shape|change form|deform|thin|steep|infuse|shape|form|localize|localise
closer,JJR,,NA
seek,VB,assay|attempt|essay|look for|search|seek|try,desire|want|act|move|travel|go|locomote|request
ally,NN,ally|friend,state|nation|country|land|commonwealth|res publica|body politic|associate
adult,JJ,adult|big|full-grown|fully grown|grown|grownup|pornographic,
lean,VBD,angle|be given|incline|lean|list|run|slant|tend|tilt|tip,bend|flex|put|set|place|pose|position|lay|be|trust|move
1537,CD,NA,NA
guise,NNP,guise|pretence|pretense|pretext,semblance|gloss|color|colour
son,NNS,boy|Logos|son|Son|Word,male offspring|man-child
infancy,NN,babyhood|early childhood|infancy,time of life|immaturity|immatureness
give,VB,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer
birth,NN,birth|birthing|giving birth|nascence|nascency|nativity|parentage|parturition,beginning|commencement|first|outset|get-go|start|kickoff|starting time|showtime|offset|change|alteration|modification|organic process|biological process|kinship|family relationship|relationship|person|individual|someone|somebody|mortal|soul
third,JJ,3rd|tertiary|third,
child,NN,baby|child|fry|kid|minor|nestling|nipper|shaver|small fry|tiddler|tike|tyke|youngster,juvenile|juvenile person|offspring|progeny|issue|person|individual|someone|somebody|mortal|soul|descendant|descendent
husband,NN,hubby|husband|married man,spouse|partner|married person|mate|better half
lie,VB,consist|dwell|lie|lie down|lie in|rest,be|exist|misinform|mislead|change posture
die,VBG,become flat|break|break down|buy the farm|cash in one's chips|choke|conk|conk out|croak|decease|die|die out|drop dead|exit|expire|fail|give out|give way|give-up the ghost|go|go bad|kick the bucket|pall|pass|pass away|perish|pop off|snuff it,change state|turn|suffer|endure|break down|lose it|snap|change|feel|experience|ache|yearn|yen|pine|languish|cut out|play|disappear|vanish|go away
falkland,NNP,,NA
palace,NNP,castle|palace,mansion|mansion house|manse|hall|residence|government|authorities|regime|exhibition hall|exhibition area
8,CD,NA,NA
december,NNP,Dec|December,Gregorian calendar month
1542,CD,NA,NA
messenger,NN,courier|messenger,traveler|traveller
news,NN,intelligence|news|news program|news show|newsworthiness|tidings|word,information|info|broadcast|program|programme|interest|interestingness
queen,NN,fag|faggot|fagot|fairy|female monarch|king|nance|pansy|poof|poove|pouf|queen|queen mole rat|queen regnant|queer|tabby|world-beater,insect|female aristocrat|personification|rival|challenger|competitor|competition|contender|homosexual|homophile|homo|gay|face card|picture card|court card|chessman|chess piece|naked mole rat|domestic cat|house cat|Felis domesticus|Felis catus
produce,VBN,acquire|bring about|bring forth|bring on|bring out|create|develop|farm|get|give rise|grow|make|produce|raise,make|create|expose|exhibit|display|cultivate|change
linlithgow,NNP,,NA
day,NNS,24-hour interval|Clarence Day|Clarence Shepard Day Jr.|day|Day|daylight|daytime|mean solar day|sidereal day|solar day|twenty-four hour period|twenty-four hours,time unit|unit of time|time|calendar day|civil day|time period|period of time|period|work time|era|epoch|sidereal time|opportunity|chance
week-old,JJ,,NA
baby,NN,babe|baby|child|infant,child|kid|offspring|progeny|issue|person|individual|someone|somebody|mortal|soul|fetus|foetus|young mammal|undertaking|project|task|labor
girl,NN,daughter|female child|fille|girl|girlfriend|lady friend|little girl|miss|missy|young lady|young woman,woman|adult female|female|female person|female offspring|lover
inherit,VBP,inherit,get|acquire|receive|have
age,NN,age|eld|geezerhood|historic period|long time|old age|years,property|era|epoch|time of life|time period|period of time|period
nine,CD,NA,NA
month,NNS,calendar month|month,time period|period of time|period|time unit|unit of time
queen,NNP,fag|faggot|fagot|fairy|female monarch|king|nance|pansy|poof|poove|pouf|queen|queen mole rat|queen regnant|queer|tabby|world-beater,insect|female aristocrat|personification|rival|challenger|competitor|competition|contender|homosexual|homophile|homo|gay|face card|picture card|court card|chessman|chess piece|naked mole rat|domestic cat|house cat|Felis domesticus|Felis catus
reach,VBD,accomplish|achieve|arrive at|attain|contact|extend to|gain|get hold of|get through|get to|give|hand|hit|make|pass|pass on|progress to|reach|reach out|strain|strive|touch|turn over,arrive|get|come|move|communicate|intercommunicate|succeed|win|come through|bring home the bacon|deliver the goods|be|achieve|accomplish|attain|reach|transfer|tug|labor|labour|push|drive
see,VBD,ascertain|assure|attend|catch|check|come across|consider|construe|control|date|determine|discover|encounter|ensure|envision|escort|examine|experience|fancy|figure|find|find out|get a line|get wind|get word|go out|go steady|go through|hear|image|insure|interpret|learn|look|meet|pick up|picture|project|realise|realize|reckon|regard|run across|run into|see|see to it|take care|take in|understand|view|visit|visualise|visualize|watch|witness,perceive|comprehend|experience|see|go through|imagine|conceive of|ideate|envisage|think|believe|consider|conceive|watch|verify|visit|call in|call|tour|care|give care|receive|take in|invite|consort|associate|affiliate|assort|debate|moot|turn over|deliberate|detect|observe|find|discover|notice|undergo|accompany|bet|wager|play|understand
marriage,NN,man and wife|marriage|marriage ceremony|married couple|matrimony|spousal relationship|union|wedding|wedlock,marital status|family|family unit|ritual|rite|union|unification
refuse,VBD,decline|defy|deny|pass up|refuse|reject|resist|turn away|turn down,react|respond|elude|escape|keep|hold on
rampage,VBG,rampage,act|move
rough,NNP,rough,site|land site
wooing,NNP,courting|courtship|suit|wooing,entreaty|prayer|appeal
order,VBD,arrange|consecrate|dictate|enjoin|govern|grade|ordain|order|ordinate|place|prescribe|put|range|rank|rate|regularise|regularize|regulate|say|set up|tell,request|ask for|bespeak|call for|quest|inflict|bring down|visit|impose|decide|make up one's mind|determine|arrange|set up|invest|vest|enthrone|organize|organise|evaluate|pass judgment|judge
burn,VB,bite|burn|burn down|burn off|burn up|cauterise|cauterize|combust|cut|fire|glow|incinerate|sting|sunburn,destroy|ruin|shine|beam|change state|turn|ache|smart|hurt|feel|experience|change integrity|execute|put to death|waste|blow|squander|treat|care for|burn|discolor|discolour|colour|color|produce|make|create|consume|eat up|use up|eat|deplete|exhaust|run through|wipe out|damage
perpetual,JJ,aeonian|ageless|ceaseless|constant|eonian|eternal|everlasting|incessant|never-ending|perpetual|unceasing|unending|unremitting,
memory,NN,computer memory|computer storage|memory|memory board|remembering|retention|retentiveness|retentivity|storage|store,representation|mental representation|internal representation|basic cognitive process|faculty|mental faculty|module|memory device|storage device|hardware|computer hardware|cognitive psychology
vengeance,NN,payback|retribution|vengeance,retaliation|revenge
god,NNP,deity|divinity|god|God|graven image|idol|immortal|Supreme Being,spiritual being|supernatural being|superior|higher-up|superordinate|effigy|image|simulacrum
lighten,VBD,brighten|buoy up|lighten|lighten up|relieve,cheer|unburden|disburden|cheer up|chirk up|change|alter|modify|mitigate
stake,NN,bet|interest|post|stake|stakes|wager,share|portion|part|percentage|visual signal|instrument of execution|gamble|post
simply,RB,but|just|merely|only|plainly|simply,NA
order,NN,club|decree|edict|fiat|gild|guild|Holy Order|lodge|monastic order|order|Order|order of magnitude|ordering|orderliness|ordination|parliamentary law|parliamentary procedure|purchase order|rescript|rules of order|social club|society,command|bid|bidding|dictation|magnitude|state|arrangement|condition|status|act|enactment|commercial document|commercial instrument|association|rule|prescript|position|sect|religious sect|religious order|taxonomic group|taxonomic category|taxon|request|asking|artistic style|idiom|organization|organisation
catherine,NNP,Catherine|Catherine II|Catherine of Aragon|Catherine the Great,
aragon,NNP,Aragon|Louis Aragon,
marry,VB,conjoin|espouse|get hitched with|get married|hook up with|marry|splice|tie|wed,unite|unify|officiate
anne,NNP,Anne,
boleyn,NNP,Anne Boleyn|Boleyn,
own,JJ,ain|own(a),
thus,RB,hence|so|thence|therefore|thus|thusly,NA
catch,VBN,arrest|becharm|beguile|bewitch|captivate|capture|catch|catch up with|charm|enamor|enamour|enchant|entrance|fascinate|get|grab|hitch|overhear|overtake|pick up|see|take hold of|take in|trance|trip up|view|watch,surprise|perceive|comprehend|hit|seize|prehend|clutch|attach|attract|pull|pull in|draw|draw in|get|acquire|board|get on|change|control|hold in|hold|contain|check|curb|moderate|hear|watch|learn|get word|get wind|pick up|find out|get a line|discover|see|understand|contract|take|erupt|ignite|catch fire|take fire|combust|conflagrate|hurt|ache|suffer|appeal|reproduce|roll up|collect|accumulate|pile up|amass|compile|hoard|spread|propagate|play|witness|find|delay|detain|hold up
embrace,VBG,adopt|bosom|comprehend|cover|embrace|encompass|espouse|hug|squeeze|sweep up,include|clasp|accept
protestantism,NNP,Protestantism,Christianity|Christian religion
spirit,NN,disembodied spirit|emotional state|feel|feeling|flavor|flavour|heart|intent|life|liveliness|look|purport|smell|spirit|sprightliness|tone,vital principle|life principle|atmosphere|ambiance|ambience|character|fiber|fibre|spiritual being|supernatural being|emotion|meaning|significance|signification|import|animation|spiritedness|invigoration|brio|vivification|disposition|temperament
reformation,NNP,Protestant Reformation|reclamation|reformation|Reformation,improvement|melioration|religious movement|rescue|deliverance|delivery|saving
staunchly,RB,stanchly|staunchly,
fear,NN,awe|care|concern|fear|fearfulness|fright|reverence|veneration,emotion|anxiety
ally,NNS,ally|friend,state|nation|country|land|commonwealth|res publica|body politic|associate
marry,VBD,conjoin|espouse|get hitched with|get married|hook up with|marry|splice|tie|wed,unite|unify|officiate
dauphin,NNP,dauphin,prince
françois,NNP,,NA
1559,CD,NA,NA
soon,RB,before long|presently|shortly|soon,NA
1561,CD,NA,NA
year-old,JJ,,NA
grip,NN,adhesive friction|bag|bobby pin|clasp|clench|clutch|clutches|grasp|grip|hairgrip|handgrip|handle|hold|suitcase|traction|traveling bag|travelling bag,grasping|taking hold|seizing|prehension|appendage|baggage|luggage|friction|rubbing|skilled worker|trained worker|skilled workman|influence|hairpin
abolish,VBD,abolish|get rid of,
authority,NN,agency|assurance|authorisation|authority|authorization|bureau|confidence|dominance|federal agency|government agency|office|potency|sanction|say-so|self-assurance|self-confidence|sureness,control|person|individual|someone|somebody|mortal|soul|expert|certainty|administrative unit|administrative body|permission|book
pope,NN,Alexander Pope|Bishop of Rome|Catholic Pope|Holy Father|pontiff|pope|Pope|Roman Catholic Pope|Vicar of Christ,spiritual leader|Catholic
cousin,NN,cousin|cousin-german|first cousin|full cousin,relative|relation
virgin,NNP,virgin|Virgin|Virgo|Virgo the Virgin,innocent|inexperienced person|person|individual|someone|somebody|mortal|soul
suspicious,JJ,fishy|funny|leery|mistrustful|shady|suspect|suspicious|untrusting|wary,
intention,NNS,aim|design|intent|intention|purpose,goal|end|goal|end|volition|willing
turbulent,JJ,churning|disruptive|riotous|roiled|roiling|roily|troubled|tumultuous|turbulent,
one,NNS,1|ace|I|one|single|unity,digit|figure|unit
clash,VBD,clash|collide|jar,hit|strike|impinge on|run into|collide with|conflict|disagree|differ|dissent|take issue
early,RB,ahead of time|betimes|early|early on|too soon,NA
reformer,NN,crusader|meliorist|reformer|reformist|social reformer,disputant|controversialist|eristic|apparatus|setup
knox,NNP,John Knox|Knox,
sway,VB,carry|persuade|rock|shake|sway|swing,move back and forth|influence|act upon|work|move|displace
adopt,VBD,acquire|adopt|assume|borrow|dramatise|dramatize|embrace|espouse|follow|sweep up|take|take in|take on|take over|take up,choose|take|select|pick out|accept|have|take office|change|write|compose|pen|indite
uneasy,JJ,anxious|awkward|ill at ease(p)|nervous|queasy|restless|uneasy|unquiet,
policy,NN,insurance|insurance policy|policy,plan of action|argumentation|logical argument|argument|line of reasoning|line|contract
tolerance,NN,allowance|leeway|margin|permissiveness|tolerance,endurance|disposition|temperament|allowance|attitude|mental attitude|discrepancy|disagreement|divergence|variance
1565,CD,NA,NA
darnley,NNP,,NA
chagrin,NN,chagrin|humiliation|mortification,embarrassment
19,CD,NA,NA
june,NNP,June,Gregorian calendar month
1566,CD,NA,NA
apartment,NNS,apartment|flat,housing|lodging|living accommodations
prince,NNP,prince,aristocrat|blue blood|patrician
immediately,RB,at once|directly|forthwith|immediately|instantly|like a shot|now|right away|straight off|straightaway,
immerse,VBN,absorb|bury|eat up|engross|engulf|immerse|plunge|soak up|steep|swallow|swallow up,penetrate|perforate|concentrate|focus|center|centre|pore|rivet|enclose|close in|inclose|shut in
controversy,NN,arguing|argument|contention|contestation|controversy|disceptation|disputation|tilt,dispute|difference|difference of opinion|conflict
bothwell,NNP,,NA
chief,JJ,chief(a)|main(a)|master(a)|primary(a)|principal(a),
suspect,VBP,distrust|mistrust|surmise|suspect,guess|venture|pretend|hazard|disbelieve|discredit|think|opine|suppose|imagine|reckon
forcedto,NN,,NA
abdicate,VBP,abdicate|renounce,vacate|resign|renounce|give up
1567,CD,NA,NA
infant,NN,babe|baby|infant,child|kid
prince,NN,prince,aristocrat|blue blood|patrician
vus,NNP,,NA
asylum,NN,asylum|insane asylum|institution|mental home|mental hospital|mental institution|psychiatric hospital|refuge|sanctuary,shelter|hospital|infirmary
imprison,VBN,gaol|immure|imprison|incarcerate|jail|jug|lag|put away|put behind bars|remand,confine|detain|confine|detain
keep,VBD,celebrate|continue|go along|go on|hold|hold back|hold on|hold open|keep|keep back|keep on|keep open|maintain|observe|preserve|prevent|proceed|restrain|retain|save|stay fresh|sustain,act|move|have|have got|hold|record|enter|put down|lodge|accommodate|prolong|sustain|keep up|stay|remain|rest|protect|grow|raise|farm|produce|reserve|book|store|confine|detain|cook|fix|ready|make|prepare
captivity,NN,captivity|enslavement|immurement|imprisonment|incarceration,confinement|subjugation|subjection
beheaded,JJ,beheaded|decapitated,
trumped-up,JJ,trumped-up(a),
charge,NN,accusation|armorial bearing|bang|bearing|billing|boot|burster|bursting charge|care|cathexis|charge|commission|complaint|direction|electric charge|explosive charge|flush|guardianship|heraldic bearing|kick|mission|rush|thrill|tutelage,attack|onslaught|onset|onrush|pleading|cost|electrical phenomenon|protection|assignment|duty assignment|dependant|dependent|liabilities|libidinal energy|exhilaration|excitement|request|asking|command|bid|bidding|dictation|assertion|averment|asseveration|heraldry|explosive
treason,NN,betrayal|high treason|lese majesty|perfidy|subversiveness|traitorousness|treachery|treason,crime|criminal offense|criminal offence|law-breaking|disloyalty|dishonesty|knavery
bitterly,RB,bitingly|bitter|bitterly|piercingly,
ironic,JJ,dry|ironic|ironical|wry,
inherit,VBD,inherit,get|acquire|receive|have
1603,CD,NA,NA
mark,VBG,brand|check|check off|commemorate|cross off|cross out|denounce|differentiate|distinguish|grade|label|mark|mark off|nock|note|notice|pit|pock|punctuate|scar|score|set|stigmatise|stigmatize|strike off|strike out|tag|tick|tick off,attach|bespeak|betoken|indicate|point|signal|qualify|characterize|characterise|observe|celebrate|keep|change|alter|modify|label|deface|disfigure|blemish|notch|lay down|establish|make|record|enter|put down|take away|take out|verify|measure|evaluate|valuate|assess|appraise|value|add
crown,NNP,cap|crest|crown|Crown|crownwork|diadem|jacket|jacket crown|pate|peak|pennant|poll|summit|tip|top|treetop,symbol|top|wreath|garland|coronal|chaplet|lei|jewelled headdress|jeweled headdress|crown jewels|vertex|peak|apex|acme|coin|topographic point|place|spot|award|accolade|honor|honour|laurels|top side|upper side|upside|dental appliance
separate,JJ,disjoined|freestanding|separate,
country,NNS,area|body politic|commonwealth|country|land|nation|res publica|rural area|state,political unit|political entity|administrative district|administrative division|territorial division|people|geographical area|geographic area|geographical region|geographic region|region
rule,VBN,decree|dominate|find|govern|harness|predominate|prevail|reign|rein|rule,control|command|decide|make up one's mind|determine|pronounce|label|judge|attach to|accompany|come with|go with|draw|restrain|keep|keep back|hold back
same,JJ,like|same|same(p),
monarch,NN,crowned head|Danaus plexippus|milkweed butterfly|monarch|monarch butterfly|sovereign,ruler|swayer|head of state|chief of state|danaid|danaid butterfly
fast,RB,fast|tight,NA
1500,CD,NA,NA
1650,CD,NA,NA
maze,NN,labyrinth|maze|snarl|tangle,system|perplexity
tall,JJ,grandiloquent|improbable|magniloquent|marvellous|marvelous|tall|tall(a),
unsanitary,JJ,insanitary|unhealthful|unsanitary,
tenement,NNS,tenement|tenement house,apartment building|apartment house
sprouted,JJ,sprouted,
spine,NN,acantha|back|backbone|pricker|prickle|rachis|spikelet|spinal column|spine|spur|sticker|thorn|vertebral column,skeletal structure|projection|aculeus|part|portion|process|outgrowth|appendage
1582,CD,NA,NA
town,NNP,Ithiel Town|town|Town|townsfolk|township|townspeople,municipality|administrative district|administrative division|territorial division|architect|designer
precursor,NN,forerunner|harbinger|herald|precursor|predecessor,material|stuff|person|individual|someone|somebody|mortal|soul|indication|indicant
university,NNP,university,body|establishment|educational institution
1625,CD,NA,NA
prove,VBD,bear witness|demonstrate|essay|establish|evidence|examine|leaven|prove|raise|rise|shew|show|test|testify|try|try out|turn out|turn up,be|confirm|corroborate|sustain|substantiate|support|affirm|inform|prove|demonstrate|establish|show|shew|evaluate|pass judgment|judge|grow|raise|lift|elevate|get up|bring up|print|impress|authenticate
incompetent,JJ,bungling|clumsy|fumbling|incapable|incompetent|unequal to(p)|unqualified|unskilled,
1637,CD,NA,NA
attempt,NN,attack|attempt|effort|endeavor|endeavour|try,activity|crime|criminal offense|criminal offence|law-breaking
force,VB,coerce|drive|force|hale|impel|pressure|push|ram|squeeze|storm|thrust|wedge,compel|oblige|obligate|cause|do|make|move|displace|thrust|act|penetrate|perforate
presbyterian,NNP,Presbyterian,Protestant
accept,VB,accept|admit|assume|bear|consent|go for|have|live with|swallow|take|take on|take over,evaluate|pass judgment|judge|get|acquire|react|respond|accept|take|have|digest|endure|stick out|stomach|bear|stand|tolerate|support|brook|abide|suffer|put up|be|receive
liturgy,NN,Eucharist|Eucharistic liturgy|Holy Eucharist|Holy Sacrament|liturgy|Liturgy|Lord's Supper|sacrament of the Eucharist,sacrament|rite|religious rite
bishop,NNS,bishop,priest|mulled wine|chessman|chess piece
revolt,NN,insurrection|rebellion|revolt|rising|uprising,conflict|struggle|battle
rioting,NN,riot|rioting,disorder
large,JJ,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
churchman,NN,churchman|cleric|divine|ecclesiastic,clergyman|reverend|man of the cloth
sign,VBD,bless|contract|ratify|sign|sign on|sign up|signal|signalise|signalize|subscribe,write|validate|formalize|formalise|contract|undertake|hire|engage|employ|communicate|intercommunicate|put|set|place|pose|position|lay|gesticulate|gesture|motion
covenant,NNP,compact|concordat|covenant,written agreement|agreement|understanding
declaration,NN,announcement|annunciation|contract|declaration|proclamation|resolution|resolve,statement|testimony|bid|bidding|document|written document|papers
condemn,VBG,condemn|decry|doom|excoriate|objurgate|reprobate|sentence,denounce|declare|compel|oblige|obligate|attest|certify|manifest|demonstrate|evidence|impound|attach|sequester|confiscate|seize
pledge,VBG,drink|pledge|plight|salute|subscribe|toast|wassail,promise|assure|donate|honor|honour|reward|consign|charge|oblige|bind|hold|obligate
allegiance,NN,allegiance|commitment|dedication|fealty|loyalty,cooperation|loyalty|trueness
faith,NN,faith|organized religion|religion|religious belief|trust,belief|theological virtue|supernatural virtue|institution|establishment|commitment|allegiance|loyalty|dedication
covenanter,NNP,,NA
call,VBN,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse
side,VBN,side,align|array
parliamentarian,NNP,Member of Parliament|parliamentarian|Parliamentarian,legislator|expert
