token,lemma,upos,clique,stem,synonyms,hypernyms
images,image,NOUN,54,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
using,use,VERB,54,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
mask,mask,NOUN,54,mask,mask|masque|masquerade|masquerade party,covering|disguise|concealment|concealing|hiding|party|protective covering|protective cover|protection
created,create,VERB,54,creat,create|make|produce,act|move|appoint|charge|make|create
segmentation,segmentation,NOUN,54,segment,cleavage|division|partition|partitioning|sectionalisation|sectionalization|segmentation,cell division|cellular division|separation
result,result,NOUN,54,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role
model,model,NOUN,54,model,example|exemplar|fashion model|framework|good example|manakin|manikin|mannequin|mannikin|model|modeling|modelling|poser|role model|simulation|theoretical account,hypothesis|possibility|theory|kind|sort|form|variety|assistant|helper|help|supporter|representation|ideal|leader|mental representation|internal representation
predicted,predict,VERB,55,predict,anticipate|augur|auspicate|betoken|bode|call|forebode|forecast|foreshadow|foretell|omen|portend|predict|prefigure|presage|prognosticate|promise,guess|venture|pretend|hazard|bespeak|betoken|indicate|point|signal
images,image,NOUN,55,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
back,back,ADV,55,back,back|backward|backwards|rearward|rearwards,NA
original,original,ADJ,55,origin,original,
size,size,NOUN,55,size,size|size of it|sizing,magnitude|property|filler|situation|state of affairs
inverse,inverse,NOUN,55,invers,inverse|opposite,opposition|oppositeness
sliding,slide,VERB,55,slide,skid|slew|slide|slip|slither|slue,glide|travel|go|move|locomote|displace
window,window,NOUN,55,window,window|windowpane,framework|frame|opening|panel|gap|time period|period of time|period|pane|pane of glass|window glass|display|video display
extraction,extraction,NOUN,55,extract,descent|extraction|origin,natural process|natural action|action|activity|ancestry|lineage|derivation|filiation|removal|remotion
finally,finally,ADV,56,final,at last|at long last|eventually|finally|in conclusion|in the end|last|lastly|ultimately,
threed,three,VERB,56,three,,NA
geometry,geometry,NOUN,56,geometri,geometry,pure mathematics
structure,structure,NOUN,56,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
scanning,scan,VERB,56,scan,glance over|rake|read|run down|scan|skim,examine|see|search|conform|move|displace|declaim|recite|interpret|construe
data,data,NOUN,56,data,data|information,collection|aggregation|accumulation|assemblage
reconstructed,reconstruct,VERB,56,reconstruct,construct|rebuild|reconstruct|redo|remodel|restore|retrace,speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|construct|build|make|change|alter|modify|regenerate|renew
concatenating,concatenat,VERB,56,concatenat,,NA
multiple,multiple,ADJ,56,multipl,multiple,
scan,scan,ADJ,56,scan,,NA
images,image,NOUN,56,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
method,method,NOUN,57,method,method|method acting,know-how|acting|playing|playacting|performing
direct,direct,ADJ,57,direct,direct|lineal|unmediated|verbatim,
modification,modification,NOUN,57,modif,adjustment|alteration|change|limiting|modification|qualifying,change|copy|grammatical relation|happening|occurrence|occurrent|natural event
completely,completely,ADV,57,complet,all|altogether|completely|entirely|right|totally|whole|wholly,
convolution,convolution,NOUN,57,convolut,convolution|gyrus|swirl|vortex|whirl,round shape|structure|anatomical structure|complex body part|bodily structure|body structure|change of shape
architecture,architecture,NOUN,57,architectur,architecture|computer architecture,building|edifice|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|fine arts|beaux arts|profession|structure
net,net,NOUN,57,net,cyberspace|earnings|internet|lucre|mesh|meshing|meshwork|net|net income|net profit|network|profit|profits,computer network|trap|income|goal|game equipment|fabric|cloth|material|textile
known,know,VERB,57,know,acknowledge|bang|be intimate|bed|bonk|cognise|cognize|do it|eff|experience|fuck|get it on|get laid|have a go at it|have intercourse|have it away|have it off|have sex|hump|jazz|know|lie with|live|love|make love|make out|recognise|recognize|roll in the hay|screw|sleep together|sleep with,experience|see|go through|accept|copulate|mate|pair|couple|recognize|recognise|realize|realise|agnize|agnise|distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart|remember|retrieve|recall|call back|call up|recollect|think
biomedical,biomedical,ADJ,57,biomed,biomedical,
image,image,NOUN,57,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
segmentation,segmentation,NOUN,57,segment,cleavage|division|partition|partitioning|sectionalisation|sectionalization|segmentation,cell division|cellular division|separation
using,use,VERB,57,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
information,information,NOUN,57,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
skip,skip,VERB,57,skip,bound off|cut|decamp|hop|hop-skip|jump|pass over|skim|skip|skip over|skitter|vamoose,neglect|pretermit|omit|drop|miss|leave out|overlook|overleap|jump|leap|bound|spring|leave|go forth|go away|bounce|resile|take a hop|rebound|recoil|reverberate|ricochet|throw
connections,connections,NOUN,57,connect,,NA
network,network,NOUN,58,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
consists,consist,VERB,58,consist,comprise|consist|dwell|lie|lie in,exist|be|match|fit|correspond|check|jibe|gibe|tally|agree
pair,pair,NOUN,58,pair,brace|couple|couplet|distich|duad|duet|duo|dyad|pair|span|twain|twosome|yoke,set|two|2|II|deuce|gathering|assemblage|poker hand
encoder,encoder,NOUN,58,encod,,NA
contraction,contraction,NOUN,58,contract,compression|condensation|contraction|muscle contraction|muscular contraction,shortening|shrinking|shrinkage|word|decrease|diminution|reduction|step-down
path,path,NOUN,58,path,course|itinerary|path|route|track|way|way of life,course|course of action|way|line
decoder,decoder,NOUN,58,decod,decipherer|decoder,intellectual|intellect|machine
expansion,expansion,NOUN,58,expans,elaboration|enlargement|expanding upon|expansion,increase|step-up|function|mathematical function|single-valued function|map|mapping|discussion|treatment|discourse
similar,similar,ADJ,58,similar,alike(p)|exchangeable|interchangeable|like|similar|standardised|standardized,
original,original,ADJ,58,origin,original,
net,net,NOUN,58,net,cyberspace|earnings|internet|lucre|mesh|meshing|meshwork|net|net income|net profit|network|profit|profits,computer network|trap|income|goal|game equipment|fabric|cloth|material|textile
figure,figure,VERB,58,figur,calculate|cipher|compute|count on|cypher|enter|envision|estimate|fancy|figure|forecast|image|picture|project|reckon|see|visualise|visualize|work out,evaluate|pass judgment|judge|be|imagine|conceive of|ideate|envisage|reason|grok|get the picture|comprehend|savvy|dig|grasp|compass|apprehend
network,network,NOUN,59,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
takes,take,VERB,59,take,accept|acquire|admit|adopt|aim|ask|assume|bring|call for|carry|charter|choose|claim|conduct|consider|consume|contain|contract|convey|deal|demand|direct|drive|engage|exact|fill|film|get|get hold of|guide|have|hire|hold|ingest|involve|lead|learn|lease|look at|make|necessitate|need|occupy|pack|pick out|postulate|read|remove|rent|require|select|shoot|strike|study|submit|subscribe|subscribe to|take|take aim|take away|take in|take on|take up|train|use up|withdraw,NA
input,input,NOUN,59,input,comment|input|input signal|remark|stimulant|stimulation|stimulus,signal|signaling|sign|statement|information|component|constituent|element
size,size,NOUN,59,size,size|size of it|sizing,magnitude|property|filler|situation|state of affairs
image,image,NOUN,59,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
then,then,ADV,59,then,and so|so|then,NA
passes,pass,NOUN,59,pass,base on balls|bye|crack|fling|flip|go|head|laissez passer|liberty chit|mountain pass|notch|offer|pass|passing|passing game|passing play|passport|qualifying|strait|straits|toss|walk|whirl,accomplishment|achievement|leave|leave of absence|football play|location|permission|flight|flying|situation|juncture|occasion|cycle|oscillation|concession|conceding|yielding|license|licence|permit|ticket|attempt|effort|endeavor|endeavour|try|throw|success
first,first,ADV,59,first,first|first of all|first off|firstly|foremost,NA
convolution,convolution,NOUN,59,convolut,convolution|gyrus|swirl|vortex|whirl,round shape|structure|anatomical structure|complex body part|bodily structure|body structure|change of shape
block,block,NOUN,59,block,auction block|block|blockage|blocking|city block|closure|cube|cylinder block|engine block|mental block|occlusion|pulley|pulley block|pulley-block|stop|stoppage,artifact|artefact|area|country|solid|collection|aggregation|accumulation|assemblage|housing|lodging|living accommodations|computer memory unit|inability|machine|simple machine|cast|casting|obstruction|obstructor|obstructer|impediment|impedimenta|platform
has,have,VERB,59,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
layers,layer,NOUN,59,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
sixfour,sixfour,NOUN,59,sixfour,,NA
filters,filter,NOUN,59,filter,filter,device|electrical device
measuring,measure,VERB,59,measur,appraise|assess|evaluate|measure|measure out|mensurate|quantify|valuate|value,decide|make up one's mind|determine|carry|convey|express|be|evaluate|pass judgment|judge
used,use,VERB,59,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
extract,extract,NOUN,59,extract,excerpt|excerption|extract|infusion|selection,solution|passage
feature,feature,NOUN,59,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
map,map,NOUN,59,map,function|map|mapping|mathematical function|single-valued function,representation|mathematical relation
data,data,NOUN,59,data,data|information,collection|aggregation|accumulation|assemblage
rectified,rectify,VERB,60,rectifi,amend|correct|reclaim|rectify|refine|reform|regenerate|remediate|remedy|repair|right,determine|find|find out|ascertain|purify|sublimate|make pure|distill|change|alter|modify|correct|rectify|right|change by reversal|turn|reverse|exchange|commute|convert
linear,linear,NOUN,60,linear,,NA
unit,unit,NOUN,60,unit,building block|social unit|unit|unit of measurement|whole,definite quantity|part|portion|component part|component|constituent|organization|organisation|whole|thing|object|physical object
activation,activation,NOUN,60,activ,activating|activation|energizing,stimulation|activity|beginning|start|commencement
function,function,NOUN,60,function,affair|function|map|mapping|mathematical function|occasion|office|part|procedure|purpose|role|routine|single-valued function|social function|social occasion|subprogram|subroutine|use,mathematical relation|utility|usefulness|duty|relation|social gathering|social affair|social event|software|software program|computer software|software system|software package|package
used,use,VERB,60,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
converting,convert,VERB,60,convert,change|change over|commute|convert|convince|exchange|win over,change|alter|modify|replace|score|hit|tally|rack up|persuade
negative,negative,ADJ,60,neg,damaging|disconfirming|electronegative|minus|negative|negatively charged,
values,value,NOUN,60,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal
zero,zero,NOUN,60,zero,0|aught|cipher|cypher|goose egg|nada|naught|nil|nix|nothing|nought|null|zero|zero point|zilch|zip|zippo,relative quantity|digit|figure|numerical quantity|sight setting
max,max,ADJ,61,max,,NA
pooling,pool,NOUN,61,pool,consortium|kitty|pocket billiards|pond|pool|puddle|syndicate,excavation|lake|organization|organisation|association|reserve account|reserve fund|body of water|water|stake|stakes|bet|wager|topographic point|place|spot|table game
process,process,NOUN,61,process,appendage|cognitive operation|cognitive process|mental process|operation|outgrowth|physical process|procedure|process|summons|unconscious process,activity|cognition|knowledge|noesis|writ|judicial writ|body part|physical entity
downsize,downsize,NOUN,61,downsiz,,NA
first,first,ADV,61,first,first|first of all|first off|firstly|foremost,NA
feature,feature,NOUN,61,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
map,map,NOUN,61,map,function|map|mapping|mathematical function|single-valued function,representation|mathematical relation
sixfour,sixfour,NOUN,61,sixfour,,NA
second,second,ADV,62,second,second|secondly,NA
convolution,convolution,NOUN,62,convolut,convolution|gyrus|swirl|vortex|whirl,round shape|structure|anatomical structure|complex body part|bodily structure|body structure|change of shape
block,block,NOUN,62,block,auction block|block|blockage|blocking|city block|closure|cube|cylinder block|engine block|mental block|occlusion|pulley|pulley block|pulley-block|stop|stoppage,artifact|artefact|area|country|solid|collection|aggregation|accumulation|assemblage|housing|lodging|living accommodations|computer memory unit|inability|machine|simple machine|cast|casting|obstruction|obstructor|obstructer|impediment|impedimenta|platform
same,same,ADJ,62,same,like|same|same(p),
layer,layer,NOUN,62,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
keeping,keep,VERB,62,keep,celebrate|continue|go along|go on|hold|hold back|hold on|hold open|keep|keep back|keep on|keep open|maintain|observe|preserve|prevent|proceed|restrain|retain|save|stay fresh|sustain,act|move|have|have got|hold|record|enter|put down|lodge|accommodate|prolong|sustain|keep up|stay|remain|rest|protect|grow|raise|farm|produce|reserve|book|store|confine|detain|cook|fix|ready|make|prepare
first,first,ADV,62,first,first|first of all|first off|firstly|foremost,NA
dimension,dimension,NOUN,62,dimens,attribute|dimension|property|proportion,magnitude|concept|conception|construct|Cartesian coordinate
previous,previous,ADJ,62,previou,former(a)|late(a)|old|premature|previous(a)|previous(p),
increase,increase,NOUN,62,increas,addition|gain|growth|increase|increment|step-up,indefinite quantity|change|alteration|modification|process|physical process|amount|change of magnitude
third,third,ADJ,62,third,3rd|tertiary|third,
times,time,NOUN,62,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
max,max,ADJ,63,max,,NA
pooling,pool,NOUN,63,pool,consortium|kitty|pocket billiards|pond|pool|puddle|syndicate,excavation|lake|organization|organisation|association|reserve account|reserve fund|body of water|water|stake|stakes|bet|wager|topographic point|place|spot|table game
used,use,VERB,63,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
reduce,reduce,NOUN,63,reduc,,NA
dimension,dimension,NOUN,63,dimens,attribute|dimension|property|proportion,magnitude|concept|conception|construct|Cartesian coordinate
sixfour,sixfour,NOUN,63,sixfour,,NA
process,process,NOUN,64,process,appendage|cognitive operation|cognitive process|mental process|operation|outgrowth|physical process|procedure|process|summons|unconscious process,activity|cognition|knowledge|noesis|writ|judicial writ|body part|physical entity
repeated,repeat,VERB,64,repeat,double|duplicate|echo|ingeminate|iterate|recapitulate|recur|reduplicate|reiterate|repeat|replicate|reprise|reprize|restate|retell|take over,tell|reproduce|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|utter|emit|let out|let loose|act|move|play|spiel
twice,twice,ADV,64,twice,double|doubly|twice,NA
reach,reach,NOUN,64,reach,ambit|compass|grasp|orbit|range|reach|reaching|scope|stretch,limit|extent|motion|movement|move|motility|capability|capableness|potentiality
bottommost,bottommost,ADJ,64,bottommost,bottommost|lowermost|nethermost,
convolution,convolution,NOUN,64,convolut,convolution|gyrus|swirl|vortex|whirl,round shape|structure|anatomical structure|complex body part|bodily structure|body structure|change of shape
block,block,NOUN,64,block,auction block|block|blockage|blocking|city block|closure|cube|cylinder block|engine block|mental block|occlusion|pulley|pulley block|pulley-block|stop|stoppage,artifact|artefact|area|country|solid|collection|aggregation|accumulation|assemblage|housing|lodging|living accommodations|computer memory unit|inability|machine|simple machine|cast|casting|obstruction|obstructor|obstructer|impediment|impedimenta|platform
still,still,ADV,64,still,all the same|at the same time|even|even so|however|nevertheless|nonetheless|notwithstanding|still|stock-still|withal|yet,NA
built,build,VERB,64,build,build|build up|construct|establish|make|progress|ramp up|work up,make|create|develop|better|improve|amend|ameliorate|meliorate|oversee|supervise|superintend|manage|establish|base|ground|found|increase|intensify|deepen
layers,layer,NOUN,64,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
max,max,ADJ,64,max,,NA
pooling,pool,NOUN,64,pool,consortium|kitty|pocket billiards|pond|pool|puddle|syndicate,excavation|lake|organization|organisation|association|reserve account|reserve fund|body of water|water|stake|stakes|bet|wager|topographic point|place|spot|table game
furthermore,furthermore,ADV,65,furthermor,furthermore|moreover|what is more,NA
dropout,dropout,NOUN,65,dropout,dropout,quitter|individualist
added,add,VERB,65,add,add|add together|add up|append|bestow|bring|contribute|impart|lend|sum|sum up|summate|supply|tally|tot|tot up|total|tote up,increase|state|say|tell|change|alter|modify|calculate|cipher|cypher|compute|work out|reckon|figure|count|number|enumerate|numerate|form|constitute|make
hidden,hidden,ADJ,65,hidden,concealed|hidden|obscure|out of sight|secret,
layers,layer,NOUN,65,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
having,have,VERB,65,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
largest,largest,ADJ,65,largest,,NA
number,number,NOUN,65,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
convolutional,convolutional,ADJ,65,convolut,,NA
parameters,parameter,NOUN,65,paramet,argument|parameter|parametric quantity,constant|constant quantity|invariable|factor|address|computer address|reference|value|quantity
up,up,ADV,66,up,up|upward|upwardly|upwards,NA
sampling,sample,NOUN,66,sampl,sample|sample distribution|sampling,example|illustration|instance|representative|distribution|statistical distribution|natural object
path,path,NOUN,66,path,course|itinerary|path|route|track|way|way of life,course|course of action|way|line
expand,expand,VERB,66,expand,amplify|blow up|boom|dilate|elaborate|enlarge|expand|expatiate|exposit|expound|extend|flesh out|flourish|inflate|lucubrate|spread out|thrive,grow|enlarge|increase|clarify|clear up|elucidate|change|alter|modify
feature,feature,NOUN,66,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
map,map,NOUN,66,map,function|map|mapping|mathematical function|single-valued function,representation|mathematical relation
size,size,NOUN,66,size,size|size of it|sizing,magnitude|property|filler|situation|state of affairs
lower,lower,ADJ,66,lower,,NA
resolution,resolution,NOUN,66,resolut,answer|closure|declaration|firmness|firmness of purpose|resoluteness|resolution|resolve|resolving|resolving power|result|settlement|solution|solvent|solving,document|written document|papers|physical phenomenon|trait|determination|finding|decision making|deciding|breakdown|partitioning|remission|remittal|subsidence|harmony|musical harmony|statement|decision|conclusion
higher,higher,ADJ,66,higher,higher(a),
add,add,VERB,66,add,add|add together|add up|append|bestow|bring|contribute|impart|lend|sum|sum up|summate|supply|tally|tot|tot up|total|tote up,increase|state|say|tell|change|alter|modify|calculate|cipher|cypher|compute|work out|reckon|figure|count|number|enumerate|numerate|form|constitute|make
padding,padding,NOUN,66,pad,cushioning|padding,artifact|artefact
previous,previous,ADJ,66,previou,former(a)|late(a)|old|premature|previous(a)|previous(p),
layer,layer,NOUN,66,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
followed,follow,VERB,66,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on
convolution,convolution,NOUN,66,convolut,convolution|gyrus|swirl|vortex|whirl,round shape|structure|anatomical structure|complex body part|bodily structure|body structure|change of shape
operation,operation,NOUN,66,oper,cognitive operation|cognitive process|functioning|mathematical operation|mathematical process|mental process|military operation|operation|performance|procedure|process|surgery|surgical operation|surgical procedure|surgical process,action|activity|activeness|business activity|commercial activity|data processing|medical procedure|work|process|physical process|cognition|knowledge|noesis|calculation|computation|computing
up,up,ADV,67,up,up|upward|upwardly|upwards,NA
sampling,sample,NOUN,67,sampl,sample|sample distribution|sampling,example|illustration|instance|representative|distribution|statistical distribution|natural object
path,path,NOUN,67,path,course|itinerary|path|route|track|way|way of life,course|course of action|way|line
feature,feature,NOUN,67,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
map,map,NOUN,67,map,function|map|mapping|mathematical function|single-valued function,representation|mathematical relation
concatenated,concatenate,VERB,67,concaten,concatenate,chain|add
corresponding,correspond,NOUN,67,correspond,,NA
encoder,encoder,NOUN,67,encod,,NA
combine,combine,NOUN,67,combin,cartel|combine|combining|corporate trust|trust,harvester|reaper|consortium|pool|syndicate|union
information,information,NOUN,67,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
layer,layer,NOUN,67,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
process,process,NOUN,68,process,appendage|cognitive operation|cognitive process|mental process|operation|outgrowth|physical process|procedure|process|summons|unconscious process,activity|cognition|knowledge|noesis|writ|judicial writ|body part|physical entity
repeated,repeat,VERB,68,repeat,double|duplicate|echo|ingeminate|iterate|recapitulate|recur|reduplicate|reiterate|repeat|replicate|reprise|reprize|restate|retell|take over,tell|reproduce|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|utter|emit|let out|let loose|act|move|play|spiel
more,more,ADJ,68,more,more than|more(a),
times,time,NOUN,68,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
back,back,ADV,68,back,back|backward|backwards|rearward|rearwards,NA
layer,layer,NOUN,68,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
input,input,NOUN,68,input,comment|input|input signal|remark|stimulant|stimulation|stimulus,signal|signaling|sign|statement|information|component|constituent|element
resolution,resolution,NOUN,68,resolut,answer|closure|declaration|firmness|firmness of purpose|resoluteness|resolution|resolve|resolving|resolving power|result|settlement|solution|solvent|solving,document|written document|papers|physical phenomenon|trait|determination|finding|decision making|deciding|breakdown|partitioning|remission|remittal|subsidence|harmony|musical harmony|statement|decision|conclusion
output,output,NOUN,69,output,end product|output|output signal|outturn|production|turnout|yield,product|production|signal|signaling|sign|indefinite quantity
final,final,ADJ,69,final,concluding|final|last|net|terminal,
decoder,decoder,NOUN,69,decod,decipherer|decoder,intellectual|intellect|machine
fed,feed,ADJ,69,feed,,NA
sigmoid,sigmoid,NOUN,69,sigmoid,,NA
activation,activation,NOUN,69,activ,activating|activation|energizing,stimulation|activity|beginning|start|commencement
layer,layer,NOUN,69,layer,bed|layer|level|stratum,artifact|artefact|region|part|place|hen|biddy|structure|anatomical structure|complex body part|bodily structure|body structure
give,give,VERB,69,give,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer
segmentation,segmentation,NOUN,69,segment,cleavage|division|partition|partitioning|sectionalisation|sectionalization|segmentation,cell division|cellular division|separation
mask,mask,NOUN,69,mask,mask|masque|masquerade|masquerade party,covering|disguise|concealment|concealing|hiding|party|protective covering|protective cover|protection
representing,represent,VERB,69,repres,act|be|comprise|constitute|correspond|defend|exemplify|interpret|lay out|make up|map|play|present|represent|stage|stand for|symbolise|symbolize|typify,equal|be|mean|intend|serve|express|verbalize|verbalise|utter|give tongue to|embody|personify|re-create|describe|depict|draw|remonstrate|point out|state|say|tell|permute|commute|transpose
pixel,pixel,NOUN,69,pixel,pel|picture element|pixel,component|constituent|element
wise,wise,ADV,69,wise,,NA
classification,classification,NOUN,69,classif,assortment|categorisation|categorization|classification|compartmentalisation|compartmentalization|sorting,grouping|arrangement|basic cognitive process|restriction|confinement
described,describe,VERB,70,describ,account|delineate|depict|describe|discover|distinguish|draw|identify|key|key out|line|name|report|trace,set forth|expound|exposit|inform|mark
as,as,ADV,70,a,as|equally|every bit,
semantic,semantic,ADJ,70,semant,semantic,
segmentation,segmentation,NOUN,70,segment,cleavage|division|partition|partitioning|sectionalisation|sectionalization|segmentation,cell division|cellular division|separation
convolutional,convolutional,ADJ,70,convolut,,NA
neural,neural,ADJ,70,neural,nervous|neural|neuronal|neuronic,
network,network,NOUN,70,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
consists,consist,VERB,70,consist,comprise|consist|dwell|lie|lie in,exist|be|match|fit|correspond|check|jibe|gibe|tally|agree
encoder,encoder,NOUN,70,encod,,NA
decoder,decoder,NOUN,70,decod,decipherer|decoder,intellectual|intellect|machine
architecture,architecture,NOUN,70,architectur,architecture|computer architecture,building|edifice|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|fine arts|beaux arts|profession|structure
classified,classify,VERB,70,classifi,assort|class|classify|relegate|separate|sort|sort out,categorize|categorise|restrict|control|assign|attribute
depending,depend,VERB,70,depend,bank|bet|calculate|count|depend|look|reckon|rely|swear,be|trust
number,number,NOUN,70,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
