token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
as,as,ADV,1,a,as|equally|every bit,NA,S0166361514001456,S0166361514001456_1
tools,tool,NOUN,1,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member,S0166361514001456,S0166361514001456_1
provide,provide,VERB,1,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set,S0166361514001456,S0166361514001456_1
infrastructure,infrastructure,NOUN,1,infrastructur,base|infrastructure|substructure,structure|store|stock|fund,S0166361514001456,S0166361514001456_1
connect,connect,NOUN,1,connect,NA,NA,S0166361514001456,S0166361514001456_1
information,information,NOUN,1,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure,S0166361514001456,S0166361514001456_1
systems,systems,NOUN,1,system,NA,NA,S0166361514001456,S0166361514001456_1
ontologies,ontology,NOUN,30,ontologi,ontology,arrangement|organization|organisation|system|metaphysics,S0166361514001456,S0166361514001456_30
belonging,belonge,VERB,30,belong,NA,NA,S0166361514001456,S0166361514001456_30
same,same,ADJ,30,same,like|same|same(p),NA,S0166361514001456,S0166361514001456_30
domain,domain,NOUN,30,domain,area|arena|demesne|domain|domain of a function|field|knowledge base|knowledge domain|land|orbit|sphere|world,environment|region|set|class|stratum|social class|socio-economic class|content|cognitive content|mental object,S0166361514001456,S0166361514001456_30
present,present,ADJ,30,present,present|present(a),NA,S0166361514001456,S0166361514001456_30
differences,difference,NOUN,30,differ,conflict|departure|deviation|difference|difference of opinion|dispute|divergence|remainder,quality|variation|fluctuation|disagreement|change|number,S0166361514001456,S0166361514001456_30
naming,name,VERB,30,name,advert|appoint|be known as|bring up|call|cite|constitute|describe|diagnose|discover|distinguish|identify|key|key out|know as|list|make|mention|name|nominate|refer,label|denote|refer|appoint|charge|establish|found|plant|constitute|institute|specify|set|determine|define|fix|limit|think of|have in mind|mean|enumerate|recite|itemize|itemise|analyze|analyse|study|examine|canvass,S0166361514001456,S0166361514001456_30
conventions,convention,NOUN,30,convent,convening|convention|conventionalism|conventionality|formula|normal|pattern|rule,meeting|group meeting|practice|treaty|pact|accord|orthodoxy|assembly|assemblage|gathering,S0166361514001456,S0166361514001456_30
structure,structure,NOUN,30,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme,S0166361514001456,S0166361514001456_30
representation,representation,NOUN,30,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity,S0166361514001456,S0166361514001456_30
way,way,NOUN,30,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage,S0166361514001456,S0166361514001456_30
quality,quality,NOUN,40,qualiti,caliber|calibre|character|lineament|quality|timber|timbre|tone,attribute|degree|grade|level|property|dimension|sound property|social station|social status|social rank|rank,S0166361514001456,S0166361514001456_40
purpose,purpose,VERB,40,purpos,aim|propose|purport|purpose|resolve,intend|mean|think|decide|make up one's mind|determine,S0166361514001456,S0166361514001456_40
interchange,interchange,NOUN,40,interchang,exchange|give-and-take|interchange|reciprocation,junction|interaction|group action|commerce|commercialism|mercantilism,S0166361514001456,S0166361514001456_40
information,information,NOUN,40,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure,S0166361514001456,S0166361514001456_40
heterogeneous,heterogeneous,ADJ,40,heterogen,heterogeneous|heterogenous,NA,S0166361514001456,S0166361514001456_40
systems,systems,NOUN,40,system,NA,NA,S0166361514001456,S0166361514001456_40
measured,measure,VERB,40,measur,appraise|assess|evaluate|measure|measure out|mensurate|quantify|valuate|value,decide|make up one's mind|determine|carry|convey|express|be|evaluate|pass judgment|judge,S0166361514001456,S0166361514001456_40
capabilities,capabilities,NOUN,40,capabl,NA,NA,S0166361514001456,S0166361514001456_40
provide,provide,VERB,40,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set,S0166361514001456,S0166361514001456_40
formal,formal,ADJ,40,formal,conventional|courtly|formal|schematic|stately,NA,S0166361514001456,S0166361514001456_40
representation,representation,NOUN,40,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity,S0166361514001456,S0166361514001456_40
interchanged,interchange,VERB,40,interchang,alternate|change|counterchange|exchange|flip|flip-flop|interchange|replace|substitute|switch|tack|transpose,change|alter|modify|transfer|change by reversal|turn|reverse,S0166361514001456,S0166361514001456_40
meet,meet,VERB,40,meet,adjoin|assemble|come across|conform to|contact|converge|encounter|fill|fit|foregather|forgather|fulfil|fulfill|gather|get together|meet|play|receive|run across|run into|satisfy|see|suffer|take on|touch,NA,S0166361514001456,S0166361514001456_40
requirements,requirement,NOUN,40,requir,demand|essential|necessary|necessity|prerequisite|requirement|requisite,duty|responsibility|obligation|thing,S0166361514001456,S0166361514001456_40
expression,expression,NOUN,243,express,aspect|construction|expression|face|facial expression|formula|formulation|grammatical construction|locution|look|manifestation|reflection|reflexion|saying|verbal expression|verbalism,countenance|visage|demonstration|demo|communication|communicating|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|expressive style|style|mathematical statement|organic process|biological process|constituent|grammatical constituent|squeeze|squeezing,S0166361519305445,S0166361519305445_243
calculation,calculation,NOUN,243,calcul,calculation|computation|computing|deliberation|figuring|reckoning,procedure|process|problem solving|planning|preparation|provision,S0166361519305445,S0166361519305445_243
node,node,NOUN,243,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0166361519305445,S0166361519305445_243
as,as,ADV,243,a,as|equally|every bit,NA,S0166361519305445,S0166361519305445_243
λtype,λtype,NOUN,243,λtype,NA,NA,S0166361519305445,S0166361519305445_243
keyelsetype,keyelsetype,NOUN,243,keyelsetyp,NA,NA,S0166361519305445,S0166361519305445_243
key,key,ADJ,243,kei,cardinal|central|fundamental|key|primal,NA,S0166361519305445,S0166361519305445_243
where,where,ADV,243,where,NA,NA,S0166361519305445,S0166361519305445_243
wme,wme,NOUN,243,wme,NA,NA,S0166361519305445,S0166361519305445_243
weights,weight,NOUN,243,weight,exercising weight|free weight|system of weights|weight|weight unit|weightiness|weighting,physical property|sports equipment|importance|artifact|artefact|oppression|oppressiveness|system of measurement|metric|unit of measurement|unit|coefficient,S0166361519305445,S0166361519305445_243
parameters,parameter,NOUN,243,paramet,argument|parameter|parametric quantity,constant|constant quantity|invariable|factor|address|computer address|reference|value|quantity,S0166361519305445,S0166361519305445_243
respectively,respectivly,ADV,243,respectivli,NA,NA,S0166361519305445,S0166361519305445_243
reflects,reflect,VERB,243,reflect,chew over|contemplate|excogitate|meditate|mull|mull over|muse|ponder|reflect|reverberate|ruminate|shine|speculate|think over,indicate|point|designate|show|think|cogitate|cerebrate|emit|give out|give off|attest|certify|manifest|demonstrate|evidence,S0166361519305445,S0166361519305445_243
emphasis,emphasis,NOUN,243,emphasi,accent|emphasis|stress|vehemence,importance|grandness|intensity|intensiveness|rhetorical device|prosody|inflection,S0166361519305445,S0166361519305445_243
parameter,parameter,NOUN,243,paramet,argument|parameter|parametric quantity,constant|constant quantity|invariable|factor|address|computer address|reference|value|quantity,S0166361519305445,S0166361519305445_243
thus,thus,ADV,357,thu,hence|so|thence|therefore|thus|thusly,NA,S0166361519305445,S0166361519305445_357
determine,determine,VERB,357,determin,ascertain|check|decide|define|determine|find|find out|fix|influence|learn|limit|make up one's mind|mold|regulate|see|set|settle|shape|specify|square off|square up|watch,cause|do|make|choose|take|select|pick out|specify|define|delineate|delimit|delimitate|conclude|resolve,S0166361519305445,S0166361519305445_357
query,query,NOUN,357,queri,enquiry|inquiry|interrogation|query|question,questioning|inquiring,S0166361519305445,S0166361519305445_357
part,part,NOUN,357,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item,S0166361519305445,S0166361519305445_357
reuse,reuse,NOUN,357,reus,NA,NA,S0166361519305445,S0166361519305445_357
process,process,NOUN,357,process,appendage|cognitive operation|cognitive process|mental process|operation|outgrowth|physical process|procedure|process|summons|unconscious process,activity|cognition|knowledge|noesis|writ|judicial writ|body part|physical entity,S0166361519305445,S0166361519305445_357
skeleton,skeleton,NOUN,357,skeleton,frame|skeletal frame|skeletal system|skeleton|skeleton in the closet|skeleton in the cupboard|systema skeletale|underframe,minimum|lower limit|scandal|outrage|system|supporting structure,S0166361519305445,S0166361519305445_357
check,check,VERB,357,check,agree|arrest|ascertain|assure|break|check|check into|check off|check out|check over|check up on|checker|chequer|chink|condition|contain|control|correspond|crack|curb|delay|determine|discipline|ensure|find out|fit|gibe|go over|hold|hold back|hold in|insure|jibe|learn|look into|mark|mark off|match|moderate|retard|see|see to it|stop|suss out|tally|tick|tick off|train|turn back|watch,analyze|analyse|study|examine|canvass|see|verify|restrain|keep|keep back|hold back|stop|halt|change|alter|modify|equal|be|obstruct|blockade|block|hinder|stymie|stymy|embarrass|develop|make grow|consign|charge|draw|move|go|defend|attack|aggress|write out|issue|make out|cut|crack,S0166361519305445,S0166361519305445_357
geometric,geometric,ADJ,357,geometr,geometric|geometrical,NA,S0166361519305445,S0166361519305445_357
precision,precision,NOUN,357,precis,preciseness|precision,exactness|exactitude,S0166361519305445,S0166361519305445_357
values,value,NOUN,357,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal,S0166361519305445,S0166361519305445_357
node,node,NOUN,357,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0166361519305445,S0166361519305445_357
mathematical,mathematical,ADJ,140,mathemat,mathematical|numerical,NA,S0198971521000363,S0198971521000363_140
formula,formula,NOUN,140,formula,chemical formula|convention|expression|formula|normal|pattern|recipe|rule,mathematical statement|direction|instruction|statement|practice|milk|procedure|process,S0198971521000363,S0198971521000363_140
calculating,calculate,VERB,140,calcul,account|aim|bank|bet|calculate|cipher|compute|count|count on|cypher|depend|direct|estimate|figure|forecast|look|reckon|rely|swear|work out,reason|evaluate|pass judgment|judge|predict|foretell|prognosticate|call|forebode|anticipate|promise|intend|destine|designate|specify|trust,S0198971521000363,S0198971521000363_140
word,word,NOUN,140,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0198971521000363,S0198971521000363_140
weight,weight,NOUN,140,weight,exercising weight|free weight|system of weights|weight|weight unit|weightiness|weighting,physical property|sports equipment|importance|artifact|artefact|oppression|oppressiveness|system of measurement|metric|unit of measurement|unit|coefficient,S0198971521000363,S0198971521000363_140
tfidf,tfidf,NOUN,140,tfidf,NA,NA,S0198971521000363,S0198971521000363_140
method,method,NOUN,140,method,method|method acting,know-how|acting|playing|playacting|performing,S0198971521000363,S0198971521000363_140
as,as,ADV,140,a,as|equally|every bit,NA,S0198971521000363,S0198971521000363_140
follows,follow,VERB,140,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on,S0198971521000363,S0198971521000363_140
fijxijkxkjlgwonejziwj,fijxijkxkjlgwonejziwj,PROPN,140,fijxijkxkjlgwonejziwj,NA,NA,S0198971521000363,S0198971521000363_140
total,total,ADJ,140,total,entire|full|total,NA,S0198971521000363,S0198971521000363_140
frequency,frequency,NOUN,140,frequenc,absolute frequency|frequence|frequency|oftenness|relative frequency,rate|ratio|cardinal number|cardinal,S0198971521000363,S0198971521000363_140
words,word,NOUN,140,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0198971521000363,S0198971521000363_140
wj,wj,PROPN,140,wj,NA,NA,S0198971521000363,S0198971521000363_140
number,number,NOUN,140,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0198971521000363,S0198971521000363_140
corpusand,corpusand,NOUN,140,corpusand,NA,NA,S0198971521000363,S0198971521000363_140
j,j,PROPN,140,j,NA,NA,S0198971521000363,S0198971521000363_140
containing,contain,VERB,140,contain,arrest|bear|carry|check|comprise|contain|control|curb|hold|hold back|hold in|incorporate|moderate|stop|take|turn back,include|restrain|keep|keep back|hold back|be|defend,S0198971521000363,S0198971521000363_140
using,use,VERB,171,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0198971521000363,S0198971521000363_171
widely,widely,ADV,171,wide,wide|widely,NA,S0198971521000363,S0198971521000363_171
distributed,distribute,VERB,171,distribut,administer|allot|broadcast|circularise|circularize|circulate|deal|deal out|diffuse|dish out|dispense|disperse|disseminate|distribute|dole out|give out|hand out|lot|mete out|parcel out|pass around|pass on|pass out|propagate|shell out|spread|stagger,give|transfer|gift|present|move|displace|publicize|publicise|air|bare|spread|scatter|spread out|exist|be|arrange|set up,S0198971521000363,S0198971521000363_171
check,check,VERB,171,check,agree|arrest|ascertain|assure|break|check|check into|check off|check out|check over|check up on|checker|chequer|chink|condition|contain|control|correspond|crack|curb|delay|determine|discipline|ensure|find out|fit|gibe|go over|hold|hold back|hold in|insure|jibe|learn|look into|mark|mark off|match|moderate|retard|see|see to it|stop|suss out|tally|tick|tick off|train|turn back|watch,analyze|analyse|study|examine|canvass|see|verify|restrain|keep|keep back|hold back|stop|halt|change|alter|modify|equal|be|obstruct|blockade|block|hinder|stymie|stymy|embarrass|develop|make grow|consign|charge|draw|move|go|defend|attack|aggress|write out|issue|make out|cut|crack,S0198971521000363,S0198971521000363_171
points,point,NOUN,171,point,breaker point|compass point|decimal point|degree|detail|distributor point|dot|full point|full stop|gunpoint|head|item|level|peak|percentage point|period|point|point in time|pointedness|power point|spot|stage|stop|tip,component|constituent|element|factor|ingredient|location|meaning|significance|signification|import|fact|state|measure|quantity|amount|aim|object|objective|target|convex shape|convexity|disk|disc|saucer|unit of measurement|unit|promontory|headland|head|foreland|part|portion|component part|relevance|relevancy|characteristic|end|terminal|direction|linear unit|linear measure|loan|punctuation|punctuation mark|mark|mathematical notation|taper|gun muzzle|muzzle|wall socket|wall plug|electric outlet|electrical outlet|outlet|electric receptacle|contact|tangency,S0198971521000363,S0198971521000363_171
sense,sense,NOUN,171,sens,common sense|good sense|gumption|horse sense|mother wit|sensation|sense|sensory faculty|sentience|sentiency|signified,awareness|consciousness|cognizance|cognisance|knowingness|meaning|significance|signification|import|faculty|mental faculty|module|sagacity|sagaciousness|judgment|judgement|discernment|appreciation|grasp|hold,S0198971521000363,S0198971521000363_171
citys,city,NOUN,171,citi,city|metropolis|urban center,municipality|administrative district|administrative division|territorial division,S0198971521000363,S0198971521000363_171
sentiment,sentiment,NOUN,171,sentiment,opinion|persuasion|sentiment|thought|view,feeling|belief,S0198971521000363,S0198971521000363_171
attitude,attitude,NOUN,171,attitud,attitude|mental attitude|position|posture,cognition|knowledge|noesis|bodily property|affectation|mannerism|pose|affectedness|orientation,S0198971521000363,S0198971521000363_171
geographically,geographically,ADV,171,geograph,geographically,NA,S0198971521000363,S0198971521000363_171
results,result,NOUN,171,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role,S0198971521000363,S0198971521000363_171
shown,show,VERB,171,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run,S0198971521000363,S0198971521000363_171
figure,figure,VERB,171,figur,calculate|cipher|compute|count on|cypher|enter|envision|estimate|fancy|figure|forecast|image|picture|project|reckon|see|visualise|visualize|work out,evaluate|pass judgment|judge|be|imagine|conceive of|ideate|envisage|reason|grok|get the picture|comprehend|savvy|dig|grasp|compass|apprehend,S0198971521000363,S0198971521000363_171
many,many,ADJ,38,mani,many,NA,S0306457318305211,S0306457318305211_38
efforts,effort,NOUN,38,effort,attempt|campaign|cause|crusade|drive|effort|elbow grease|endeavor|endeavour|exertion|exploit|feat|movement|sweat|travail|try,activity|labor|labour|toil|accomplishment|achievement|venture,S0306457318305211,S0306457318305211_38
have,have,VERB,38,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0306457318305211,S0306457318305211_38
made,make,VERB,38,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow,S0306457318305211,S0306457318305211_38
develop,develop,VERB,38,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand,S0306457318305211,S0306457318305211_38
approaches,approach,VERB,38,approach,approach|border on|come near|come on|draw close|draw near|go about|go up|near|set about,come|come up|approximate|come close|act|move|address|accost|come up to,S0306457318305211,S0306457318305211_38
devoted,devote,ADJ,38,devot,NA,NA,S0306457318305211,S0306457318305211_38
understanding,understand,NOUN,38,understand,NA,NA,S0306457318305211,S0306457318305211_38
unstructured,unstructured,ADJ,38,unstructur,amorphous|unstructured,NA,S0306457318305211,S0306457318305211_38
data,data,NOUN,38,data,data|information,collection|aggregation|accumulation|assemblage,S0306457318305211,S0306457318305211_38
using,use,VERB,38,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0306457318305211,S0306457318305211_38
computational,computational,ADJ,38,comput,computational,NA,S0306457318305211,S0306457318305211_38
tools,tool,NOUN,38,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member,S0306457318305211,S0306457318305211_38
order,order,NOUN,165,order,club|decree|edict|fiat|gild|guild|Holy Order|lodge|monastic order|order|Order|order of magnitude|ordering|orderliness|ordination|parliamentary law|parliamentary procedure|purchase order|rescript|rules of order|social club|society,command|bid|bidding|dictation|magnitude|state|arrangement|condition|status|act|enactment|commercial document|commercial instrument|association|rule|prescript|position|sect|religious sect|religious order|taxonomic group|taxonomic category|taxon|request|asking|artistic style|idiom|organization|organisation,S0306457318305211,S0306457318305211_165
study,study,NOUN,165,studi,bailiwick|cogitation|discipline|field|field of study|report|sketch|study|subject|subject area|subject field|survey|work|written report,examination|scrutiny|learning|acquisition|document|written document|papers|concentration|engrossment|absorption|immersion|room|knowledge domain|knowledge base|domain|drawing|contemplation|reflection|reflexion|rumination|musing|thoughtfulness|memorizer|memoriser|musical composition|opus|composition|piece|piece of music,S0306457318305211,S0306457318305211_165
dependency,dependency,NOUN,165,depend,addiction|colony|dependance|dependence|dependency|habituation,state|physical condition|physiological state|physiological condition|geographical area|geographic area|geographical region|geographic region,S0306457318305211,S0306457318305211_165
measurements,measurement,NOUN,165,measur,measure|measurement|measuring|mensuration,activity,S0306457318305211,S0306457318305211_165
content,content,NOUN,165,content,capacity|cognitive content|content|contentedness|contents|depicted object|mental object|message|subject|subject matter|substance,collection|aggregation|accumulation|assemblage|communication|proportion|volume|cognition|knowledge|noesis|acceptance|thing,S0306457318305211,S0306457318305211_165
extracted,extract,VERB,165,extract,distil|distill|draw out|educe|elicit|evoke|excerpt|express|extract|press out|pull|pull out|pull up|rip out|take out|tear out,remove|take|take away|withdraw|obtain|interpret|construe|see|make|create|separate|get|acquire|choose|select|pick out|calculate|cipher|cypher|compute|work out|reckon|figure,S0306457318305211,S0306457318305211_165
classes,class,NOUN,165,class,category|class|course|course of instruction|course of study|division|family|form|grade|social class|socio-economic class|stratum|year,collection|aggregation|accumulation|assemblage|gathering|people|education|instruction|teaching|pedagogy|didactics|educational activity|league|conference|taxonomic group|taxonomic category|taxon|elegance,S0306457318305211,S0306457318305211_165
datasets,dataset,NOUN,165,dataset,NA,NA,S0306457318305211,S0306457318305211_165
top,top,ADJ,213,top,top(a),NA,S0306457318305211,S0306457318305211_213
panels,panel,NOUN,213,panel,board|control board|control panel|dialog box|gore|instrument panel|jury|panel|venire,sheet|flat solid|committee|commission|body|pad|piece of cloth|piece of material|window|electrical device,S0306457318305211,S0306457318305211_213
illustrate,illustrate,ADJ,213,illustr,NA,NA,S0306457318305211,S0306457318305211_213
results,result,NOUN,213,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role,S0306457318305211,S0306457318305211_213
obtained,obtain,VERB,213,obtain,find|get|hold|incur|obtain|prevail|receive,get|acquire|change|exist|be,S0306457318305211,S0306457318305211_213
σ,σ,NOUN,213,σ,NA,NA,S0306457318305211,S0306457318305211_213
k,k,PROPN,213,k,NA,NA,S0306457318305211,S0306457318305211_213
q,q,NOUN,213,q,q|Q,letter|letter of the alphabet|alphabetic character,S0306457318305211,S0306457318305211_213
c,class,NOUN,213,class,category|class|course|course of instruction|course of study|division|family|form|grade|social class|socio-economic class|stratum|year,collection|aggregation|accumulation|assemblage|gathering|people|education|instruction|teaching|pedagogy|didactics|educational activity|league|conference|taxonomic group|taxonomic category|taxon|elegance,S0306457318305211,S0306457318305211_213
α,α,NOUN,213,α,NA,NA,S0306457318305211,S0306457318305211_213
most,most,ADJ,214,most,most(a),NA,S0306457318305211,S0306457318305211_214
cases,case,NOUN,214,case,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen,S0306457318305211,S0306457318305211_214
variability,variability,NOUN,214,variabl,unevenness|variability|variableness|variance,changeableness|changeability|irregularity|unregularity,S0306457318305211,S0306457318305211_214
languages,language,NOUN,214,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word,S0306457318305211,S0306457318305211_214
bible,bible,ADJ,214,bibl,NA,NA,S0306457318305211,S0306457318305211_214
dataset,dataset,NOUN,214,dataset,NA,NA,S0306457318305211,S0306457318305211_214
topics,topic,NOUN,214,topic,issue|matter|subject|theme|topic,message|content|subject matter|substance|cognitive content|mental object,S0306457318305211,S0306457318305211_214
english,english,NOUN,214,english,English|English language|English people|side,West Germanic|West Germanic language|nation|land|country|humanistic discipline|humanities|liberal arts|arts|spin,S0306457318305211,S0306457318305211_214
there,there,ADV,214,there,there|thither,NA,S0306457318305211,S0306457318305211_214
significant,significant,ADJ,214,signific,important|meaning(a)|pregnant|significant|substantial,NA,S0306457318305211,S0306457318305211_214
difference,difference,NOUN,214,differ,conflict|departure|deviation|difference|difference of opinion|dispute|divergence|remainder,quality|variation|fluctuation|disagreement|change|number,S0306457318305211,S0306457318305211_214
values,value,NOUN,214,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal,S0306457318305211,S0306457318305211_214
other,other,ADJ,15,other,early(a)|former(a)|other|other(a),NA,S0306457319303267,S0306457319303267_15
centrality,centrality,NOUN,15,central,centrality,position|spatial relation,S0306457319303267,S0306457319303267_15
measures,measure,NOUN,15,measur,amount|bar|beat|bill|cadence|criterion|measure|measurement|measuring|measuring rod|measuring stick|mensuration|meter|metre|quantity|standard|step|touchstone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|abstraction|abstract entity|legal document|legal instrument|official document|instrument|activity|system of measurement|metric|poetic rhythm|rhythmic pattern|prosody|musical notation|measuring instrument|measuring system|measuring device|container,S0306457319303267,S0306457319303267_15
have,have,VERB,15,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0306457319303267,S0306457319303267_15
